Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1961","1961","kg/ha","748.3","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1962","1962","kg/ha","1175.5","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1963","1963","kg/ha","2000","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1964","1964","kg/ha","882.6","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1965","1965","kg/ha","1900","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1966","1966","kg/ha","1000","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1967","1967","kg/ha","1000","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1968","1968","kg/ha","1000","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1969","1969","kg/ha","1000","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1970","1970","kg/ha","1200","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1971","1971","kg/ha","1034.8","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1972","1972","kg/ha","1000","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1973","1973","kg/ha","990.7","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1974","1974","kg/ha","1018.1","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1975","1975","kg/ha","1075.1","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1976","1976","kg/ha","1079.8","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1977","1977","kg/ha","1101.8","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1978","1978","kg/ha","1121","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1979","1979","kg/ha","1071.9","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1980","1980","kg/ha","1184.7","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1981","1981","kg/ha","1232.8","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1982","1982","kg/ha","1160.6","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1983","1983","kg/ha","1291.6","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1984","1984","kg/ha","1198.8","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1985","1985","kg/ha","1218.2","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1986","1986","kg/ha","1130.5","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1987","1987","kg/ha","1483.9","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1988","1988","kg/ha","1800","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1989","1989","kg/ha","1187.5","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1990","1990","kg/ha","1025.2","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1991","1991","kg/ha","1155.6","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1992","1992","kg/ha","1225","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1993","1993","kg/ha","1740","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1994","1994","kg/ha","1675","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1995","1995","kg/ha","1120","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1996","1996","kg/ha","1109.9","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1997","1997","kg/ha","1090.8","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1998","1998","kg/ha","823.1","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","1999","1999","kg/ha","755.6","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","2000","2000","kg/ha","701.8","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","2001","2001","kg/ha","767.1","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","2002","2002","kg/ha","876.3","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","2003","2003","kg/ha","767.2","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","2004","2004","kg/ha","767","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","2005","2005","kg/ha","888.9","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","0112","Maize (corn)","2006","2006","kg/ha","853.1","A","Official figure",""
