-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Latitude  -1.8986   Longitude 30.0444 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1614.43 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2010,3.96,6.13,6.57,8.5,3.94,0.95,0.09,0.34,2.47,1.44,8.9,3.4,3.86
PRECTOTCORR,2011,2.17,2.69,5.53,5.71,4.52,1.41,0.7,2.11,7.57,6.89,4.65,3.52,3.96
PRECTOTCORR,2012,0.46,2.1,2.61,6.46,11.6,1.0,0.25,2.15,2.3,5.83,7.02,4.05,3.82
PRECTOTCORR,2013,2.0,1.55,6.09,7.03,4.36,0.04,0.31,1.57,2.98,1.64,4.23,3.77,2.97
PRECTOTCORR,2014,1.32,3.13,3.84,5.82,3.83,3.54,0.65,2.6,3.9,4.84,5.38,5.1,3.66
PRECTOTCORR,2015,1.5,2.42,3.77,3.99,3.0,2.26,0.31,0.34,1.99,4.7,8.28,2.79,2.94
PRECTOTCORR,2016,2.72,1.42,3.5,8.0,2.75,0.18,0.1,0.3,3.32,3.92,2.62,1.66,2.54
PRECTOTCORR,2017,1.52,2.71,3.97,3.28,3.34,0.34,0.35,1.49,2.0,3.78,6.03,2.15,2.58
PRECTOTCORR,2018,4.45,1.97,7.38,10.73,3.46,1.01,0.57,1.99,2.2,3.74,3.1,3.47,3.68
PRECTOTCORR,2019,2.76,3.06,2.51,4.39,3.88,2.61,1.39,1.04,2.68,8.27,5.74,6.07,3.7
PRECTOTCORR,2020,5.19,7.56,9.27,9.19,3.22,2.33,1.65,0.97,1.53,5.06,10.31,4.32,5.03
PRECTOTCORR,2021,7.3,8.78,2.38,6.54,2.87,0.7,0.44,2.25,5.15,2.34,5.73,6.29,4.19
PRECTOTCORR,2022,4.95,12.97,5.21,5.47,3.16,0.92,0.37,5.17,4.32,3.03,6.43,3.42,4.55
PRECTOTCORR,2023,1.37,1.75,3.56,7.77,2.65,1.13,0.04,0.3,2.91,2.15,5.28,3.82,2.72
PRECTOTCORR,2024,7.01,3.2,3.58,5.37,2.09,0.26,0.49,0.65,2.21,6.83,7.13,4.37,3.6
PRECTOTCORR,2025,1.78,2.05,2.91,3.76,3.05,1.82,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
T2M,2010,19.96,20.36,19.87,19.53,19.19,18.64,18.72,20.2,20.39,20.69,19.46,18.96,19.66
T2M,2011,19.84,20.59,20.07,18.98,19.12,19.12,19.42,19.92,19.54,18.81,19.07,19.21,19.47
T2M,2012,20.34,20.36,20.23,19.47,18.78,18.13,18.82,19.81,20.07,20.14,18.86,18.91,19.49
T2M,2013,20.18,20.53,20.07,19.31,19.04,18.5,19.21,19.98,20.47,20.44,19.61,19.76,19.76
T2M,2014,20.91,20.76,20.09,19.49,19.58,19.22,19.88,19.88,19.9,19.83,19.21,19.57,19.86
T2M,2015,20.09,20.8,20.71,19.56,19.48,19.74,20.48,21.52,21.46,20.63,19.42,19.62,20.29
T2M,2016,20.26,21.75,21.98,20.06,19.11,18.72,19.24,21.1,21.14,20.64,19.63,20.53,20.34
T2M,2017,21.92,21.14,20.15,19.86,19.83,20.69,21.28,21.32,21.29,21.13,19.48,20.43,20.71
T2M,2018,19.55,21.22,19.13,18.9,18.56,17.38,16.85,18.92,20.42,19.88,19.58,19.4,19.13
T2M,2019,20.19,20.8,20.85,20.16,19.37,18.81,19.24,20.19,21.11,19.23,19.29,19.53,19.89
T2M,2020,19.73,19.95,19.99,19.58,19.01,17.6,17.13,19.24,20.13,19.68,19.15,19.2,19.2
T2M,2021,19.06,19.69,19.23,18.88,18.97,17.82,17.42,19.35,19.91,20.47,19.52,19.32,19.13
T2M,2022,19.67,19.46,19.7,19.18,18.91,17.36,17.22,18.63,19.48,19.76,18.98,19.14,18.96
T2M,2023,19.3,20.43,19.76,19.35,19.87,19.57,19.21,21.36,21.48,21.29,19.72,20.69,20.17
T2M,2024,20.48,21.06,20.78,20.18,20.36,19.43,20.65,21.46,22.76,20.8,19.97,19.7,20.63
T2M,2025,20.12,21.35,21.26,20.36,19.59,19.59,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
