name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Rwanda,2023-01-01,78.3,59,69.1,78.3,59,69.1,57.9,69.6,0,0,0,rain,0,0,21.5,12.8,35.4,1019.3,44.1,6.6,235.4,20.4,8,10,2023-01-01T05:56:20,2023-01-01T18:10:18,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999,remote"
Rwanda,2023-01-02,80.8,59,70.2,80.3,59,70.2,56.8,65.3,0.079,100,4.17,rain,0,0,15.4,13.3,62.6,1019.4,49.6,6.6,245.8,21.4,9,10,2023-01-02T05:56:49,2023-01-02T18:10:45,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"HRYR,64387099999,remote"
Rwanda,2023-01-03,80.9,60.8,70.8,80.8,60.8,70.8,58.2,66.7,0,0,0,rain,0,0,17.2,16.1,37.4,1020.2,59.9,6.2,260.1,22.3,9,10,2023-01-03T05:57:18,2023-01-03T18:11:11,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-01-04,78.8,62.6,70.5,78.8,62.6,70.5,58.4,66.6,0,0,0,rain,0,0,16.3,12.8,55.1,1019.9,62.1,6.2,244.8,21.2,8,30,2023-01-04T05:57:46,2023-01-04T18:11:38,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-01-05,77,62.6,69.8,77,62.6,69.8,59.5,71,0,0,0,rain,0,0,19,12.8,28.3,1019.5,63.3,6.1,219.2,19.1,8,30,2023-01-05T05:58:15,2023-01-05T18:12:03,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-01-06,82.6,60.3,71.9,81.4,60.3,71.6,54.9,58.5,0,0,0,,0,0,20.8,13.9,14.7,1019.8,36.3,6.2,265.5,23,9,10,2023-01-06T05:58:42,2023-01-06T18:12:29,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-01-07,80.6,60.8,71.5,80.1,60.8,71.5,53.9,55.8,0,0,0,,0,0,19.5,12.8,39.5,1019.2,57.1,6.2,232.8,20.1,8,10,2023-01-07T05:59:10,2023-01-07T18:12:54,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-01-08,78.8,60.8,68.8,78.8,60.8,68.8,57.2,67.5,0,0,0,,0,0,16.8,15,76.2,1019.5,65,6.2,201.5,17.2,7,10,2023-01-08T05:59:37,2023-01-08T18:13:18,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-01-09,77,60.8,68.5,77,60.8,68.5,59.6,75.1,0,0,0,,0,0,20.6,13.2,114.5,1020.5,65.5,5.8,221.9,19.2,7,10,2023-01-09T06:00:04,2023-01-09T18:13:41,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-01-10,77,62.3,66.4,77,62.3,66.4,60.4,82.2,0.079,100,4.17,rain,0,0,35.8,24.2,349.7,1021.6,61.6,6,181.7,15.5,7,30,2023-01-10T06:00:30,2023-01-10T18:14:04,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"HRYR,64387099999"
