"Category","Average Minimum Surface Air Temperature","Average Mean Surface Air Temperature","Average Maximum Surface Air Temperature","Precipitation"
"Jan",12.98,19.08,25.24,115.06
"Feb",13.31,19.46,25.67,94.99
"Mar",13.34,19.36,25.44,137.45
"Apr",13.6,19.22,24.89,142.7
"May",13.51,19.11,24.76,117.75
"Jun",12.42,18.81,25.26,30.3
"Jul",11.59,18.62,25.69,14.58
"Aug",12.72,19.69,26.72,37.09
"Sep",13.05,19.62,26.24,94.4
"Oct",13.07,19.44,25.87,130.82
"Nov",13.09,19.15,25.26,148.48
"Dec",13.03,18.88,24.78,118.54
