Year,Yield (kg/ha),Yield (tonnes/ha),Rainfall (mm/day),Temperature (°C),Rainfall (mm/year)
2010,2341.6,2.3416,3.86,19.66,1408.8999999999999
2011,2352.9,2.3529,3.96,19.47,1445.4
2012,2258.7,2.2586999999999997,3.82,19.49,1394.3
2013,2284.5,2.2845,2.97,19.76,1084.0500000000002
2014,1531.6,1.5315999999999999,3.66,19.86,1335.9
2015,1531.3,1.5312999999999999,2.94,20.29,1073.1
2016,1574.8,1.5748,2.54,20.34,927.1
2017,1379.3,1.3793,2.58,20.71,941.7
2018,1431.5,1.4315,3.68,19.13,1343.2
2019,1461.0,1.461,3.7,19.89,1350.5
2020,1523.7,1.5237,5.03,19.2,1835.95
2021,1521.6,1.5215999999999998,4.19,19.13,1529.3500000000001
2022,1528.6,1.5286,4.55,18.96,1660.75
2023,1595.1,1.5951,2.72,20.17,992.8000000000001
